name,date,time,temp,humidity,windspeed,sealevelpressure
Hyderabad sindh pakistan,11/12/2025,0:00:00,72.8,55,9.2,1015
Hyderabad sindh pakistan,11/12/2025,1:00:00,72.2,56.01,8.1,1015
Hyderabad sindh pakistan,11/12/2025,2:00:00,71.9,55.6,7.8,1015
Hyderabad sindh pakistan,11/12/2025,3:00:00,71.3,55.16,6.9,1014
Hyderabad sindh pakistan,11/12/2025,4:00:00,70.8,54.72,5.6,1014
Hyderabad sindh pakistan,11/12/2025,5:00:00,70.1,53.19,3.8,1015
Hyderabad sindh pakistan,11/12/2025,6:00:00,69.2,51.32,2.5,1015
Hyderabad sindh pakistan,11/12/2025,7:00:00,69.3,47.06,1.8,1016
Hyderabad sindh pakistan,11/12/2025,8:00:00,74.4,34.88,2.7,1017
Hyderabad sindh pakistan,11/12/2025,9:00:00,77.6,25.8,3.6,1017
Hyderabad sindh pakistan,11/12/2025,10:00:00,80.5,19.67,4,1017
Hyderabad sindh pakistan,11/12/2025,11:00:00,82.5,19.8,2.9,1017
Hyderabad sindh pakistan,11/12/2025,12:00:00,84.1,19.61,2,1016
Hyderabad sindh pakistan,11/12/2025,13:00:00,85.6,17.57,1.1,1015
Hyderabad sindh pakistan,11/12/2025,14:00:00,86.4,16.24,0.7,1014
Hyderabad sindh pakistan,11/12/2025,15:00:00,87,15.18,1.1,1014
Hyderabad sindh pakistan,11/12/2025,16:00:00,87,14.75,1.3,1014
Hyderabad sindh pakistan,11/12/2025,17:00:00,84.6,16.01,2,1014
Hyderabad sindh pakistan,11/12/2025,18:00:00,80.5,17.53,4,1015
Hyderabad sindh pakistan,11/12/2025,19:00:00,79.2,17.49,4.5,1015
Hyderabad sindh pakistan,11/12/2025,20:00:00,78.3,17.63,4.7,1016
Hyderabad sindh pakistan,11/12/2025,21:00:00,76.9,18.76,3.6,1016
Hyderabad sindh pakistan,11/12/2025,22:00:00,75.5,20.26,0.7,1016
Hyderabad sindh pakistan,11/12/2025,23:00:00,74.9,22.17,2.7,1016
Hyderabad sindh pakistan,11/13/2025,0:00:00,73.8,22.5,4,1016
Hyderabad sindh pakistan,11/13/2025,1:00:00,73.5,19.26,5.1,1016
Hyderabad sindh pakistan,11/13/2025,2:00:00,72.1,18.64,4.7,1016
Hyderabad sindh pakistan,11/13/2025,3:00:00,71.1,18.65,4.9,1016
Hyderabad sindh pakistan,11/13/2025,4:00:00,70.6,18.58,5.6,1016
Hyderabad sindh pakistan,11/13/2025,5:00:00,70.1,18.64,6.3,1016
Hyderabad sindh pakistan,11/13/2025,6:00:00,69.2,18.94,6.5,1017
Hyderabad sindh pakistan,11/13/2025,7:00:00,69,18.77,7.2,1018
Hyderabad sindh pakistan,11/13/2025,8:00:00,71.3,16.82,7.2,1018
Hyderabad sindh pakistan,11/13/2025,9:00:00,76,13.63,8.7,1019
Hyderabad sindh pakistan,11/13/2025,10:00:00,80,12.06,8.5,1019
Hyderabad sindh pakistan,11/13/2025,11:00:00,83,11.51,7.6,1018
Hyderabad sindh pakistan,11/13/2025,12:00:00,85.2,11.48,6.9,1017
Hyderabad sindh pakistan,11/13/2025,13:00:00,86.4,11.19,5.6,1016
Hyderabad sindh pakistan,11/13/2025,14:00:00,87.2,10.38,4.5,1015
Hyderabad sindh pakistan,11/13/2025,15:00:00,87.5,9.67,4.9,1015
Hyderabad sindh pakistan,11/13/2025,16:00:00,87.3,9.36,5.4,1015
Hyderabad sindh pakistan,11/13/2025,17:00:00,84.6,10.05,6,1015
Hyderabad sindh pakistan,11/13/2025,18:00:00,80.7,10.91,7.4,1015
Hyderabad sindh pakistan,11/13/2025,19:00:00,79.2,11.01,8.1,1016
Hyderabad sindh pakistan,11/13/2025,20:00:00,77.8,11.2,7.8,1016
Hyderabad sindh pakistan,11/13/2025,21:00:00,76.7,11.34,7.8,1017
Hyderabad sindh pakistan,11/13/2025,22:00:00,75.6,11.57,8.3,1017
Hyderabad sindh pakistan,11/13/2025,23:00:00,74.4,11.98,7.6,1016
Hyderabad sindh pakistan,11/14/2025,0:00:00,73.3,12.52,6.5,1016
Hyderabad sindh pakistan,11/14/2025,1:00:00,72.2,13.18,5.6,1016
Hyderabad sindh pakistan,11/14/2025,2:00:00,71.5,13.72,5.1,1015
Hyderabad sindh pakistan,11/14/2025,3:00:00,70.1,14.52,4,1015
Hyderabad sindh pakistan,11/14/2025,4:00:00,68.1,15.78,3.1,1015
Hyderabad sindh pakistan,11/14/2025,5:00:00,66.8,16.6,2,1015
Hyderabad sindh pakistan,11/14/2025,6:00:00,66.5,16.81,1.8,1016
Hyderabad sindh pakistan,11/14/2025,7:00:00,67,16.5,2.2,1017
Hyderabad sindh pakistan,11/14/2025,8:00:00,72.6,13.85,2.5,1017
Hyderabad sindh pakistan,11/14/2025,9:00:00,77.3,11.75,2.2,1018
Hyderabad sindh pakistan,11/14/2025,10:00:00,80.7,10.75,2.2,1018
Hyderabad sindh pakistan,11/14/2025,11:00:00,83.6,10.02,2.5,1017
Hyderabad sindh pakistan,11/14/2025,12:00:00,85.6,9.33,1.6,1016
Hyderabad sindh pakistan,11/14/2025,13:00:00,86.6,8.22,0.4,1015
Hyderabad sindh pakistan,11/14/2025,14:00:00,87.3,7.61,0.7,1014
Hyderabad sindh pakistan,11/14/2025,15:00:00,87.5,7.28,0.7,1014
Hyderabad sindh pakistan,11/14/2025,16:00:00,87.3,7.21,0.4,1013
Hyderabad sindh pakistan,11/14/2025,17:00:00,83,8.74,0.7,1014
Hyderabad sindh pakistan,11/14/2025,18:00:00,77.4,10.33,0.9,1014
Hyderabad sindh pakistan,11/14/2025,19:00:00,76.2,10.69,0.9,1015
Hyderabad sindh pakistan,11/14/2025,20:00:00,75.1,11.08,0.9,1015
Hyderabad sindh pakistan,11/14/2025,21:00:00,74.4,11.35,1.1,1015
Hyderabad sindh pakistan,11/14/2025,22:00:00,73.5,11.69,1.1,1015
Hyderabad sindh pakistan,11/14/2025,23:00:00,72.9,11.82,1.6,1015
Hyderabad sindh pakistan,11/15/2025,0:00:00,72.1,12.09,1.8,1015
